contactId,startSeconds,stopSeconds,startJulianDate,stopJulianDate,startUtcYear,startUtcMonth,startUtcDay,startUtcHour,startUtcMinute,startUtcSeconds,stopUtcYear,stopUtcMonth,stopUtcDay,stopUtcHour,stopUtcMinute,stopUtcSeconds,groundSite
1,5980,8380,2460745.625,2460745.65277778,2025,3,11,3,0,0,2025,3,11,3,40,0,1
2,27580,29980,2460745.875,2460745.90277778,2025,3,11,9,0,0,2025,3,11,9,40,0,2
3,49180,51580,2460746.125,2460746.15277778,2025,3,11,15,0,0,2025,3,11,15,40,0,2
4,70780,73180,2460746.375,2460746.40277778,2025,3,11,21,0,0,2025,3,11,21,40,0,3
5,92380,94780,2460746.625,2460746.65277778,2025,3,12,3,0,0,2025,3,12,3,40,0,2
6,113980,116380,2460746.875,2460746.90277778,2025,3,12,9,0,0,2025,3,12,9,40,0,3
7,135580,137980,2460747.125,2460747.15277778,2025,3,12,15,0,0,2025,3,12,15,40,0,2
8,157180,159580,2460747.375,2460747.40277778,2025,3,12,21,0,0,2025,3,12,21,40,0,1
9,178780,181180,2460747.625,2460747.65277778,2025,3,13,3,0,0,2025,3,13,3,40,0,1
10,200380,202780,2460747.875,2460747.90277778,2025,3,13,9,0,0,2025,3,13,9,40,0,3
11,221980,224380,2460748.125,2460748.15277778,2025,3,13,15,0,0,2025,3,13,15,40,0,1
12,243580,245980,2460748.375,2460748.40277778,2025,3,13,21,0,0,2025,3,13,21,40,0,2
13,265180,267580,2460748.625,2460748.65277778,2025,3,14,3,0,0,2025,3,14,3,40,0,2
14,286780,289180,2460748.875,2460748.90277778,2025,3,14,9,0,0,2025,3,14,9,40,0,1
15,308380,310780,2460749.125,2460749.15277778,2025,3,14,15,0,0,2025,3,14,15,40,0,2
16,329980,332380,2460749.375,2460749.40277778,2025,3,14,21,0,0,2025,3,14,21,40,0,2
17,351580,353980,2460749.625,2460749.65277778,2025,3,15,3,0,0,2025,3,15,3,40,0,1
18,373180,375580,2460749.875,2460749.90277778,2025,3,15,9,0,0,2025,3,15,9,40,0,3
19,394780,397180,2460750.125,2460750.15277778,2025,3,15,15,0,0,2025,3,15,15,40,0,1
20,416380,418780,2460750.375,2460750.40277778,2025,3,15,21,0,0,2025,3,15,21,40,0,1
21,437980,440380,2460750.625,2460750.65277778,2025,3,16,3,0,0,2025,3,16,3,40,0,1
22,459580,461980,2460750.875,2460750.90277778,2025,3,16,9,0,0,2025,3,16,9,40,0,2
23,481180,483580,2460751.125,2460751.15277778,2025,3,16,15,0,0,2025,3,16,15,40,0,2
24,502780,505180,2460751.375,2460751.40277778,2025,3,16,21,0,0,2025,3,16,21,40,0,2
25,524380,526780,2460751.625,2460751.65277778,2025,3,17,3,0,0,2025,3,17,3,40,0,2
26,545980,548380,2460751.875,2460751.90277778,2025,3,17,9,0,0,2025,3,17,9,40,0,2
27,567580,569980,2460752.125,2460752.15277778,2025,3,17,15,0,0,2025,3,17,15,40,0,3
28,589180,591580,2460752.375,2460752.40277778,2025,3,17,21,0,0,2025,3,17,21,40,0,2
29,610780,613180,2460752.625,2460752.65277778,2025,3,18,3,0,0,2025,3,18,3,40,0,3
30,632380,634780,2460752.875,2460752.90277778,2025,3,18,9,0,0,2025,3,18,9,40,0,3
31,653980,656380,2460753.125,2460753.15277778,2025,3,18,15,0,0,2025,3,18,15,40,0,2
32,675580,677980,2460753.375,2460753.40277778,2025,3,18,21,0,0,2025,3,18,21,40,0,3
33,697180,699580,2460753.625,2460753.65277778,2025,3,19,3,0,0,2025,3,19,3,40,0,3
34,718780,721180,2460753.875,2460753.90277778,2025,3,19,9,0,0,2025,3,19,9,40,0,2
35,740380,742780,2460754.125,2460754.15277778,2025,3,19,15,0,0,2025,3,19,15,40,0,3
36,761980,764380,2460754.375,2460754.40277778,2025,3,19,21,0,0,2025,3,19,21,40,0,2
37,783580,785980,2460754.625,2460754.65277778,2025,3,20,3,0,0,2025,3,20,3,40,0,3
38,805180,807580,2460754.875,2460754.90277778,2025,3,20,9,0,0,2025,3,20,9,40,0,2
39,826780,829180,2460755.125,2460755.15277778,2025,3,20,15,0,0,2025,3,20,15,40,0,2
40,848380,850780,2460755.375,2460755.40277778,2025,3,20,21,0,0,2025,3,20,21,40,0,3
41,869980,872380,2460755.625,2460755.65277778,2025,3,21,3,0,0,2025,3,21,3,40,0,2
42,891580,893980,2460755.875,2460755.90277778,2025,3,21,9,0,0,2025,3,21,9,40,0,3
43,913180,915580,2460756.125,2460756.15277778,2025,3,21,15,0,0,2025,3,21,15,40,0,2
44,934780,937180,2460756.375,2460756.40277778,2025,3,21,21,0,0,2025,3,21,21,40,0,2
