secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
581439.463,0,2460752.28541046,2025,3,17,18,50,59.463,-9952.54499065131,-43682.3959511371,3.45598453492858,44801.8401381761,1.17693524773251
581499.463,60,2460752.2861049,2025,3,17,18,51,59.463,-9951.79952019453,-43615.2748036819,-18.4650990188238,44736.2364403926,1.17685338087986
581559.463,120,2460752.28679934,2025,3,17,18,52,59.463,-9951.04309753329,-43548.158953808,-40.3858256388921,44670.650745316,1.17676768283681
581619.463,180,2460752.28749379,2025,3,17,18,53,59.463,-9950.27573017776,-43481.0485080035,-62.3057756281341,44605.0832133693,1.17667815419005
581679.463,240,2460752.28818823,2025,3,17,18,54,59.463,-9949.49742585421,-43413.9435726884,-84.224529273517,44539.5340044211,1.17658479569677
581739.463,300,2460752.28888268,2025,3,17,18,55,59.463,-9948.70819248259,-43346.8442542127,-106.141666851647,44474.0032777755,1.17648760827782
581799.463,360,2460752.28957712,2025,3,17,18,56,59.463,-9947.90803815424,-43279.7506588539,-128.05676863878,44408.4911921598,1.17638659301778
581859.463,420,2460752.29027157,2025,3,17,18,57,59.463,-9947.09697126597,-43212.6628928161,-149.96941491816,44342.99790575,1.17628175117713
581919.463,480,2460752.29096601,2025,3,17,18,58,59.463,-9946.27500036359,-43145.5810622257,-171.879185987578,44277.5235761274,1.17617308417721
581979.463,540,2460752.29166046,2025,3,17,18,59,59.463,-9945.44213417917,-43078.5052731322,-193.785662168229,44212.0683602843,1.17606059360803
582039.463,600,2460752.2923549,2025,3,17,19,0,59.463,-9944.59838171303,-43011.4356315048,-215.688423811749,44146.632414634,1.17594428122617
582099.463,660,2460752.29304934,2025,3,17,19,1,59.463,-9943.74375214428,-42944.3722432291,-237.587051309936,44081.2158949851,1.17582414895832
582159.463,720,2460752.29374379,2025,3,17,19,2,59.463,-9942.87825486064,-42877.3152141078,-259.481125100341,44015.8189565436,1.17570019889738
582219.463,780,2460752.29443823,2025,3,17,19,3,59.463,-9942.00189947337,-42810.2646498559,-281.370225676801,43950.4417539088,1.17557243330212
582279.463,840,2460752.29513268,2025,3,17,19,4,59.463,-9941.11469578743,-42743.2206561002,-303.253933595493,43885.0844410617,1.17544085460062
582339.463,900,2460752.29582712,2025,3,17,19,5,59.463,-9940.2166538313,-42676.1833383786,-325.131829484482,43819.7471713673,1.17530546538732
582399.463,960,2460752.29652157,2025,3,17,19,6,59.463,-9939.30778383464,-42609.1528021336,-347.003494050412,43754.4300975598,1.17516626842346
582459.463,1020,2460752.29721601,2025,3,17,19,7,59.463,-9938.38809624314,-42542.1291527162,-368.868508087937,43689.1333717458,1.17502326663967
582519.463,1080,2460752.29791046,2025,3,17,19,8,59.463,-9937.45760171115,-42475.1124953777,-390.726452486473,43623.8571453909,1.17487646313472
582579.463,1140,2460752.2986049,2025,3,17,19,9,59.463,-9936.51631107926,-42408.1029352736,-412.576908239222,43558.6015693148,1.17472586116901
582639.463,1200,2460752.29929934,2025,3,17,19,10,59.463,-9935.56423544139,-42341.1005774569,-434.419456450327,43493.3667936968,1.17457146417802
582699.463,1260,2460752.29999379,2025,3,17,19,11,59.463,-9934.60138605535,-42274.1055268793,-456.253678344074,43428.1529680522,1.17441327575929
582759.463,1320,2460752.30068823,2025,3,17,19,12,59.463,-9933.62777442485,-42207.1178883851,-478.079155271698,43362.9602412424,1.17425129968152
582819.463,1380,2460752.30138268,2025,3,17,19,13,59.463,-9932.64341225475,-42140.1377667153,-499.89546872041,43297.7887614645,1.17408553987933
582879.463,1440,2460752.30207712,2025,3,17,19,14,59.463,-9931.64831142873,-42073.1652664988,-521.702200320491,43232.6386762345,1.1739160004503
582939.463,1500,2460752.30277157,2025,3,17,19,15,59.463,-9930.64248407632,-42006.2004922585,-543.498931854381,43167.510132405,1.17374268566954
582999.463,1560,2460752.30346601,2025,3,17,19,16,59.463,-9929.62594249845,-41939.243548399,-565.285245263891,43102.4032761328,1.17356559996682
583059.463,1620,2460752.30416046,2025,3,17,19,17,59.463,-9928.59869924188,-41872.2945392118,-587.060722658993,43037.3182528975,1.17338474794812
583119.463,1680,2460752.3048549,2025,3,17,19,18,59.463,-9927.56076707691,-41805.3535688723,-608.824946324981,42972.2552074905,1.1732001343861
583179.463,1740,2460752.30554934,2025,3,17,19,19,59.463,-9926.5121589303,-41738.4207414377,-630.577498731145,42907.214283994,1.17301176421528
583239.463,1800,2460752.30624379,2025,3,17,19,20,59.463,-9925.45288791507,-41671.4961608436,-652.317962538451,42842.1956257809,1.17281964253934
583299.463,1860,2460752.30693823,2025,3,17,19,21,59.463,-9924.38296746463,-41604.5799309024,-674.045920608041,42777.1993755416,1.17262377463322
583359.463,1920,2460752.30763268,2025,3,17,19,22,59.463,-9923.30241112411,-41537.6721553001,-695.760956008744,42712.2256752293,1.17242416593273
583419.463,1980,2460752.30832712,2025,3,17,19,23,59.463,-9922.2112326473,-41470.7729375974,-717.462652025628,42647.2746660802,1.17222082204133
583479.463,2040,2460752.30902157,2025,3,17,19,24,59.463,-9921.10944605619,-41403.8823812282,-739.150592167571,42582.3464886225,1.17201374873226
583539.463,2100,2460752.30971601,2025,3,17,19,25,59.463,-9919.99706552923,-41337.0005894921,-760.824360175407,42517.4412826408,1.17180295194283
583599.463,2160,2460752.31041046,2025,3,17,19,26,59.463,-9918.87410548329,-41270.1276655565,-782.48354003008,42452.5591871936,1.17158843777738
583659.463,2220,2460752.3111049,2025,3,17,19,27,59.463,-9917.74058052897,-41203.2637124498,-804.127715960785,42387.7003405933,1.17137021250803
583719.463,2280,2460752.31179934,2025,3,17,19,28,59.463,-9916.59650545567,-41136.4088330754,-825.75647245266,42322.8648804135,1.17114828256855
583779.463,2340,2460752.31249379,2025,3,17,19,29,59.463,-9915.44189529866,-41069.5631301827,-847.369394255045,42258.0529434737,1.17092265456246
583839.463,2400,2460752.31318823,2025,3,17,19,30,59.463,-9914.27676530182,-41002.7267063911,-868.966066389461,42193.2646658509,1.17069333525947
583899.463,2460,2460752.31388268,2025,3,17,19,31,59.463,-9913.10113089532,-40935.899664174,-890.546074157406,42128.5001828558,1.17046033159496
583959.463,2520,2460752.31457712,2025,3,17,19,32,59.463,-9911.91500771046,-40869.0821058544,-912.109003148973,42063.7596290294,1.17022365066507
584019.463,2580,2460752.31527157,2025,3,17,19,33,59.463,-9910.71841161698,-40802.2741336164,-933.654439250007,41999.0431381606,1.16998329974
584079.463,2640,2460752.31596601,2025,3,17,19,34,59.463,-9909.51135864854,-40735.4758494917,-955.181968650722,41934.3508432519,1.1697392862483
584139.463,2700,2460752.31666046,2025,3,17,19,35,59.463,-9908.29386508465,-40668.6873553602,-976.691177853616,41869.6828765374,1.16949161778499
584199.463,2760,2460752.3173549,2025,3,17,19,36,59.463,-9907.06594736874,-40601.9087529457,-998.181653681328,41805.0393694563,1.16924030211051
584259.463,2820,2460752.31804934,2025,3,17,19,37,59.463,-9905.82762218267,-40535.1401438263,-1019.65298328479,41740.4204526782,1.16898534715277
